                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0081,                 2.5575,                 1.0786,                0.49342,                0.18513,                0.18746,                0.13421,                0.75991,                 1.3046,                0.92828,                0.09115,             0.00098333,             0.00098333
                      2,                0.79083,                 1.1132,                 0.9742,                0.82307,                0.35106,                0.39008,                0.28234,                0.70046,                0.86066,                0.89492,               0.082137,              0.0019702,              0.0019702
                      3,                0.74214,                0.84628,                0.94001,                0.60897,                0.54275,                0.56293,                0.41378,                 0.6711,                0.67743,                 0.8833,               0.073111,               0.002944,               0.002944
                      4,                0.73146,                0.75024,                0.92688,                0.75246,                0.59319,                0.67348,                0.48902,                0.68534,                0.61413,                0.87856,               0.064071,              0.0039045,              0.0039045
                      5,                0.73384,                0.69556,                0.91897,                0.68435,                0.70424,                 0.7169,                0.51307,                0.67872,                 0.5958,                0.87834,               0.055018,              0.0048518,              0.0048518
                      6,                0.73232,                 0.6767,                0.92309,                0.75055,                0.67068,                0.73768,                0.53233,                0.69511,                0.58222,                0.88141,               0.045953,              0.0057859,              0.0057859
                      7,                0.74032,                0.65784,                0.92175,                0.71693,                0.72394,                0.76809,                0.54822,                0.65386,                0.55828,                0.87339,               0.036873,              0.0067068,              0.0067068
                      8,                0.75631,                0.64942,                0.92672,                0.75327,                0.73827,                0.76524,                0.55045,                0.67718,                0.58749,                0.88671,               0.027781,              0.0076145,              0.0076145
                      9,                0.76089,                0.64666,                0.93112,                0.72819,                0.70388,                0.74721,                0.52828,                0.72391,                0.63398,                 0.9086,               0.018676,               0.008509,               0.008509
                     10,                0.79537,                0.66183,                0.94597,                0.79719,                0.66126,                0.73454,                0.50371,                0.80126,                0.68453,                0.92891,               0.009557,              0.0093903,              0.0093903
                     11,                0.83199,                0.69461,                0.95598,                0.75835,                0.65041,                0.74592,                 0.5155,                0.79234,                0.78734,                0.93885,                0.00934,                0.00934,                0.00934
                     12,                0.82952,                0.68685,                0.96072,                0.66989,                0.63316,                 0.6959,                0.46011,                 0.8457,                0.80392,                 0.9646,               0.009274,               0.009274,               0.009274
                     13,                0.81368,                0.66147,                0.96153,                0.69813,                0.64773,                0.71267,                0.48994,                0.79652,                0.71005,                0.94239,               0.009208,               0.009208,               0.009208
                     14,                 0.8125,                0.63761,                0.95919,                0.72235,                0.66605,                0.72083,                0.50215,                0.80534,                0.74812,                0.95281,               0.009142,               0.009142,               0.009142
                     15,                 0.7993,                0.64147,                0.95742,                0.76416,                 0.7638,                0.79938,                0.56839,                0.75686,                0.62468,                0.93367,               0.009076,               0.009076,               0.009076
                     16,                0.79847,                 0.6108,                0.95344,                0.69398,                0.74786,                 0.7718,                0.54099,                0.76241,                0.64221,                0.93185,                0.00901,                0.00901,                0.00901
                     17,                0.79042,                0.60246,                0.94904,                0.81094,                0.74675,                0.79496,                0.55047,                0.76298,                0.60875,                0.92968,               0.008944,               0.008944,               0.008944
                     18,                 0.7844,                0.59148,                0.94208,                0.75912,                0.72915,                0.78109,                0.54471,                0.75906,                0.62669,                0.92336,               0.008878,               0.008878,               0.008878
                     19,                0.77901,                0.58906,                0.94711,                0.77876,                0.74598,                0.80415,                0.57642,                0.74966,                0.58475,                0.92128,               0.008812,               0.008812,               0.008812
                     20,                0.77701,                0.58728,                0.94625,                0.79279,                0.75229,                 0.8169,                0.58616,                0.74464,                0.59166,                0.91986,               0.008746,               0.008746,               0.008746
                     21,                0.76715,                0.56767,                0.94148,                0.80107,                0.75716,                 0.8265,                0.57762,                0.73816,                0.58393,                0.91997,                0.00868,                0.00868,                0.00868
                     22,                0.75534,                0.56101,                0.93833,                0.77702,                0.77132,                0.81311,                 0.5806,                0.74821,                0.60287,                0.92721,               0.008614,               0.008614,               0.008614
                     23,                0.75167,                0.54828,                 0.9408,                0.79479,                0.74402,                0.83034,                0.58632,                 0.7416,                0.55741,                0.92762,               0.008548,               0.008548,               0.008548
                     24,                0.73762,                0.54464,                0.93744,                0.77299,                0.78029,                0.81654,                0.59337,                0.73226,                0.56784,                0.91993,               0.008482,               0.008482,               0.008482
                     25,                 0.7341,                0.54132,                 0.9298,                0.88361,                0.75344,                0.85824,                0.62835,                 0.7127,                0.54939,                0.91084,               0.008416,               0.008416,               0.008416
                     26,                0.72985,                0.53648,                0.92668,                0.83281,                0.76224,                0.84179,                0.60573,                 0.7226,                0.54028,                0.91387,                0.00835,                0.00835,                0.00835
                     27,                0.73065,                0.53179,                0.93197,                0.77676,                 0.7834,                0.83191,                0.60149,                0.71904,                0.53929,                0.90957,               0.008284,               0.008284,               0.008284
                     28,                0.72587,                0.52589,                0.92815,                0.82893,                0.74739,                0.82072,                0.59093,                0.71557,                0.54619,                0.91243,               0.008218,               0.008218,               0.008218
                     29,                0.71283,                0.51369,                0.92197,                 0.8043,                0.80519,                0.84698,                0.60879,                0.71912,                0.54823,                 0.9117,               0.008152,               0.008152,               0.008152
                     30,                0.71353,                0.51542,                0.92255,                0.78949,                0.80874,                0.85287,                0.62023,                0.69755,                0.52555,                0.91015,               0.008086,               0.008086,               0.008086
                     31,                0.70914,                0.50948,                0.91729,                0.80042,                0.79991,                0.85031,                0.61769,                0.69572,                0.52543,                0.90202,                0.00802,                0.00802,                0.00802
                     32,                0.70119,                0.50374,                0.92246,                0.89102,                0.77363,                0.87641,                0.63531,                0.70746,                0.53157,                0.91655,               0.007954,               0.007954,               0.007954
                     33,                0.70239,                0.50138,                0.92002,                0.78544,                 0.8392,                0.87762,                0.64884,                0.70837,                0.51991,                0.90548,               0.007888,               0.007888,               0.007888
                     34,                 0.6971,                0.50136,                0.91295,                 0.8306,                 0.8101,                0.86367,                0.63059,                0.68714,                0.51793,                0.89967,               0.007822,               0.007822,               0.007822
                     35,                 0.6954,                0.49134,                0.91276,                0.82182,                0.81842,                0.86955,                0.63158,                0.68154,                0.50421,                 0.8989,               0.007756,               0.007756,               0.007756
                     36,                0.68865,                0.48492,                0.90887,                0.82225,                0.82722,                0.87235,                0.63551,                0.68807,                0.50083,                0.89724,                0.00769,                0.00769,                0.00769
                     37,                0.68245,                0.48524,                0.90923,                0.82742,                0.80803,                0.85665,                0.62838,                0.68983,                0.50779,                0.90364,               0.007624,               0.007624,               0.007624
                     38,                0.67789,                0.47679,                0.91256,                0.80857,                0.85318,                0.87466,                0.63629,                0.69807,                0.50227,                0.90723,               0.007558,               0.007558,               0.007558
                     39,                0.67982,                0.47685,                0.90988,                0.80409,                0.83047,                0.87376,                0.63628,                0.69902,                0.51218,                0.90995,               0.007492,               0.007492,               0.007492
                     40,                0.68458,                0.48219,                 0.9092,                0.84103,                0.80335,                0.86612,                0.63169,                0.67918,                0.50624,                0.89975,               0.007426,               0.007426,               0.007426
                     41,                0.66801,                  0.466,                0.90614,                0.84471,                0.80411,                0.87498,                0.64649,                0.69389,                0.49329,                0.89807,                0.00736,                0.00736,                0.00736
                     42,                0.66639,                0.46456,                 0.9063,                0.83904,                0.82133,                0.88016,                0.64236,                 0.6809,                0.49635,                0.89909,               0.007294,               0.007294,               0.007294
                     43,                0.66635,                0.46006,                 0.9037,                0.81104,                 0.8679,                0.88134,                0.65328,                0.67159,                0.48755,                0.89612,               0.007228,               0.007228,               0.007228
                     44,                0.66341,                0.45986,                 0.9049,                0.85015,                0.84782,                0.89336,                0.66075,                0.68076,                0.49365,                0.89683,               0.007162,               0.007162,               0.007162
                     45,                0.66024,                0.45127,                0.90414,                0.85378,                0.80067,                0.86921,                0.63876,                0.67828,                 0.4931,                0.90128,               0.007096,               0.007096,               0.007096
                     46,                0.65387,                0.44812,                0.90064,                0.82923,                0.86181,                0.87855,                0.64914,                0.66208,                0.48477,                0.89517,                0.00703,                0.00703,                0.00703
                     47,                0.64421,                0.45035,                0.89626,                0.87124,                0.80765,                0.87839,                0.64698,                0.67091,                0.48962,                0.89384,               0.006964,               0.006964,               0.006964
                     48,                0.65613,                0.45212,                0.89888,                0.83397,                0.77773,                0.85252,                0.62204,                0.67772,                0.50628,                0.89193,               0.006898,               0.006898,               0.006898
                     49,                0.65354,                0.44963,                0.90032,                0.84842,                0.80835,                0.87606,                0.64855,                0.66999,                 0.4933,                0.89535,               0.006832,               0.006832,               0.006832
                     50,                 0.6423,                0.44462,                0.89827,                0.85521,                0.81055,                0.87737,                0.64356,                0.67784,                 0.4926,                 0.9004,               0.006766,               0.006766,               0.006766
                     51,                0.64201,                0.44133,                0.89638,                0.81462,                0.83816,                0.87136,                0.63637,                0.67491,                0.48623,                0.90218,                 0.0067,                 0.0067,                 0.0067
                     52,                0.63945,                0.43735,                0.89628,                0.82345,                0.81941,                0.86074,                0.64647,                0.67593,                0.49781,                0.90128,               0.006634,               0.006634,               0.006634
                     53,                0.62942,                0.43091,                0.89164,                0.85801,                0.78643,                0.87127,                0.64043,                0.66868,                0.48253,                0.89492,               0.006568,               0.006568,               0.006568
                     54,                0.64148,                0.43268,                0.89047,                0.86283,                 0.8214,                0.87636,                0.64761,                0.66131,                0.48015,                0.89457,               0.006502,               0.006502,               0.006502
                     55,                0.62244,                0.42406,                0.89395,                0.85873,                0.81715,                0.88397,                0.65124,                0.66953,                0.48227,                0.89266,               0.006436,               0.006436,               0.006436
                     56,                0.63481,                0.42885,                0.89442,                0.84939,                0.83311,                0.87905,                0.64808,                0.66518,                 0.4885,                0.89184,                0.00637,                0.00637,                0.00637
                     57,                0.62333,                  0.421,                0.89197,                0.83924,                0.83589,                0.88973,                0.65664,                0.65969,                0.47588,                0.89579,               0.006304,               0.006304,               0.006304
                     58,                0.63085,                0.42665,                0.89384,                0.84242,                0.86212,                0.88821,                0.65838,                0.66439,                0.48524,                0.89569,               0.006238,               0.006238,               0.006238
                     59,                0.63236,                0.42622,                0.89121,                0.83298,                0.85225,                0.89176,                 0.6662,                0.65637,                0.47928,                0.89115,               0.006172,               0.006172,               0.006172
                     60,                0.62298,                0.42023,                0.89046,                0.83215,                0.85731,                0.88451,                0.65167,                0.65666,                0.47313,                0.88888,               0.006106,               0.006106,               0.006106
                     61,                0.61614,                0.41081,                 0.8893,                0.84724,                0.83867,                0.88377,                0.65298,                0.66149,                0.47922,                0.89124,                0.00604,                0.00604,                0.00604
                     62,                0.61146,                 0.4055,                0.88707,                0.83378,                  0.824,                0.86223,                0.64521,                0.65456,                 0.4758,                0.89196,               0.005974,               0.005974,               0.005974
                     63,                0.61269,                0.40868,                   0.89,                0.86343,                0.82913,                0.88376,                0.66221,                0.65782,                0.47351,                0.89304,               0.005908,               0.005908,               0.005908
                     64,                 0.6084,                0.40583,                0.88746,                0.84257,                0.83798,                0.87737,                0.65635,                0.65655,                0.47689,                0.89225,               0.005842,               0.005842,               0.005842
                     65,                 0.6144,                0.40778,                0.88657,                0.86573,                0.83144,                0.89108,                0.65594,                0.66198,                 0.4749,                0.89492,               0.005776,               0.005776,               0.005776
                     66,                0.60254,                0.40145,                0.88214,                0.85991,                 0.8612,                0.89543,                0.67351,                0.66331,                0.47154,                0.89357,                0.00571,                0.00571,                0.00571
                     67,                0.60185,                0.39873,                0.88519,                0.84781,                0.83154,                0.87761,                0.65669,                0.65876,                0.47173,                0.88861,               0.005644,               0.005644,               0.005644
                     68,                0.59588,                0.39399,                0.88247,                0.85802,                0.84402,                0.89074,                0.66296,                 0.6453,                0.47096,                0.88801,               0.005578,               0.005578,               0.005578
                     69,                0.59764,                0.39357,                0.88269,                0.84665,                0.84984,                0.88805,                0.66376,                0.64991,                0.46485,                 0.8867,               0.005512,               0.005512,               0.005512
                     70,                0.60165,                0.39531,                0.88388,                0.83583,                0.84949,                0.88351,                0.65731,                0.65678,                0.47334,                0.89121,               0.005446,               0.005446,               0.005446
                     71,                0.58904,                0.39024,                0.87964,                0.85223,                0.85026,                0.88971,                0.65868,                0.65047,                0.47453,                0.89017,                0.00538,                0.00538,                0.00538
                     72,                 0.5865,                0.38478,                0.88028,                0.82174,                0.86721,                0.88495,                0.66472,                0.65379,                0.47425,                 0.8927,               0.005314,               0.005314,               0.005314
                     73,                0.58757,                0.38752,                0.88202,                0.86647,                0.86052,                0.88977,                0.66546,                0.64362,                0.45866,                0.88479,               0.005248,               0.005248,               0.005248
                     74,                0.58736,                0.38933,                0.87933,                0.86286,                0.84593,                0.89282,                0.66367,                0.64955,                0.46257,                0.88277,               0.005182,               0.005182,               0.005182
                     75,                0.57889,                0.38244,                0.87437,                0.85774,                0.83881,                0.88502,                0.66194,                0.64964,                0.46634,                0.88891,               0.005116,               0.005116,               0.005116
                     76,                 0.5785,                0.38283,                0.87858,                0.86526,                0.82934,                0.88141,                0.65907,                0.65378,                0.46857,                0.89081,                0.00505,                0.00505,                0.00505
                     77,                0.57946,                0.37731,                0.87768,                0.85244,                0.87309,                0.89147,                0.66896,                0.65381,                0.46923,                0.89026,               0.004984,               0.004984,               0.004984
                     78,                0.57371,                0.37453,                0.87554,                 0.8627,                0.85845,                 0.9022,                0.67165,                0.64383,                0.46717,                0.88876,               0.004918,               0.004918,               0.004918
                     79,                0.57769,                0.37359,                0.87779,                0.86945,                0.87455,                0.89609,                0.68358,                0.63651,                0.45804,                0.88193,               0.004852,               0.004852,               0.004852
                     80,                0.57509,                0.37365,                0.87635,                0.85775,                0.84559,                0.88979,                0.66664,                0.64642,                0.46115,                0.88758,               0.004786,               0.004786,               0.004786
                     81,                0.57721,                0.37404,                0.87273,                0.87223,                0.84517,                0.89529,                0.67513,                0.64576,                0.46017,                0.88251,                0.00472,                0.00472,                0.00472
                     82,                 0.5673,                0.37068,                 0.8716,                0.86377,                0.86577,                0.89312,                0.67209,                0.64755,                 0.4609,                0.88289,               0.004654,               0.004654,               0.004654
                     83,                 0.5654,                0.37245,                0.87085,                0.88173,                 0.8494,                0.89533,                0.67405,                0.64539,                 0.4684,                 0.8857,               0.004588,               0.004588,               0.004588
                     84,                0.56802,                0.37448,                0.87407,                0.85401,                 0.8592,                 0.8999,                0.66995,                0.65583,                 0.4663,                0.88753,               0.004522,               0.004522,               0.004522
                     85,                0.55931,                0.36146,                0.86808,                 0.8542,                0.87083,                0.89997,                0.67427,                0.63787,                0.45531,                0.88795,               0.004456,               0.004456,               0.004456
                     86,                0.55769,                0.35866,                0.86914,                0.86566,                0.88547,                 0.9096,                0.68142,                0.64004,                 0.4549,                0.88687,                0.00439,                0.00439,                0.00439
                     87,                0.55707,                0.36004,                 0.8658,                0.87735,                0.87836,                0.90705,                0.67507,                0.64794,                0.45883,                0.88773,               0.004324,               0.004324,               0.004324
                     88,                 0.5532,                0.35537,                0.86441,                0.84742,                0.87065,                0.89694,                0.67156,                0.64485,                0.45526,                0.88275,               0.004258,               0.004258,               0.004258
                     89,                 0.5492,                0.35615,                0.86404,                0.85104,                0.87563,                0.90079,                0.67655,                0.64255,                0.46063,                0.87837,               0.004192,               0.004192,               0.004192
                     90,                0.55204,                0.35406,                0.86417,                 0.8539,                0.85578,                0.89863,                0.67695,                0.64366,                0.46141,                0.88437,               0.004126,               0.004126,               0.004126
                     91,                0.54535,                0.34755,                0.86659,                0.87688,                0.85487,                0.90019,                0.68164,                 0.6387,                0.46025,                0.88548,                0.00406,                0.00406,                0.00406
                     92,                0.54846,                0.34847,                0.86597,                0.83381,                0.86909,                0.90085,                0.67883,                0.64586,                0.46049,                 0.8874,               0.003994,               0.003994,               0.003994
                     93,                0.54706,                0.34927,                 0.8682,                 0.8451,                0.86465,                0.89494,                0.67217,                0.65459,                0.45887,                0.89203,               0.003928,               0.003928,               0.003928
                     94,                0.54286,                 0.3476,                0.86481,                0.87923,                0.86598,                 0.9016,                0.67562,                0.64183,                0.45871,                0.88626,               0.003862,               0.003862,               0.003862
                     95,                0.54174,                0.34898,                0.86141,                0.85098,                0.85971,                0.89972,                0.67601,                 0.6385,                0.45955,                0.88616,               0.003796,               0.003796,               0.003796
                     96,                0.53758,                0.34144,                0.86141,                0.86704,                0.85567,                0.89491,                 0.6704,                0.64878,                0.46935,                0.88424,                0.00373,                0.00373,                0.00373
                     97,                0.53691,                0.34304,                0.86225,                0.86731,                0.85697,                  0.904,                0.68437,                0.64811,                0.46368,                0.88802,               0.003664,               0.003664,               0.003664
                     98,                0.53691,                0.34396,                0.86256,                0.85738,                0.88943,                0.90251,                0.67736,                0.64576,                0.46429,                0.88553,               0.003598,               0.003598,               0.003598
                     99,                0.53013,                0.33904,                0.86012,                0.86983,                 0.8919,                0.90655,                0.67632,                0.63937,                0.46895,                0.88489,               0.003532,               0.003532,               0.003532
                    100,                0.53463,                0.33804,                0.86312,                0.87262,                0.87245,                0.90536,                0.67702,                0.64682,                0.46453,                0.89123,               0.003466,               0.003466,               0.003466
                    101,                0.53205,                0.33817,                0.86128,                0.84536,                0.88252,                0.90359,                0.67689,                0.64102,                0.46312,                0.88934,                 0.0034,                 0.0034,                 0.0034
                    102,                0.52238,                0.33007,                0.85943,                0.86537,                0.86643,                0.90459,                0.67897,                 0.6439,                0.46264,                0.88644,               0.003334,               0.003334,               0.003334
                    103,                0.52423,                0.33396,                0.85828,                0.84169,                 0.8849,                0.89824,                0.67281,                0.64029,                0.46114,                0.88416,               0.003268,               0.003268,               0.003268
                    104,                0.51876,                0.32907,                0.85736,                0.88071,                0.85016,                0.89587,                0.67148,                0.64088,                0.45842,                0.88611,               0.003202,               0.003202,               0.003202
                    105,                0.51668,                0.32913,                0.85795,                0.87122,                0.85313,                0.90819,                0.68579,                0.63373,                0.45943,                   0.88,               0.003136,               0.003136,               0.003136
                    106,                0.51518,                0.32844,                0.85569,                0.87074,                0.83002,                0.89515,                0.67717,                0.63876,                 0.4668,                0.88599,                0.00307,                0.00307,                0.00307
                    107,                0.51702,                0.32653,                0.85603,                0.86775,                0.87309,                0.90083,                 0.6803,                0.63372,                0.46182,                0.88532,               0.003004,               0.003004,               0.003004
                    108,                0.50729,                0.32562,                0.85818,                0.87488,                 0.8872,                0.90836,                0.68581,                0.63902,                0.46803,                  0.886,               0.002938,               0.002938,               0.002938
                    109,                0.50912,                0.32745,                 0.8541,                0.85081,                0.89106,                 0.9044,                0.68169,                0.63387,                 0.4638,                0.88713,               0.002872,               0.002872,               0.002872
                    110,                0.51699,                0.32373,                0.85716,                0.87615,                0.86921,                0.89981,                0.67983,                0.64614,                0.46967,                0.88861,               0.002806,               0.002806,               0.002806
                    111,                0.50813,                0.31804,                0.85283,                0.87523,                0.86456,                0.90408,                0.68761,                0.64021,                0.46397,                0.88554,                0.00274,                0.00274,                0.00274
                    112,                0.50533,                0.31896,                0.85215,                0.86753,                 0.8646,                0.90139,                0.68951,                  0.632,                0.47282,                0.88496,               0.002674,               0.002674,               0.002674
                    113,                0.50817,                0.31776,                0.85379,                 0.8641,                0.86931,                0.90429,                0.68794,                0.64266,                0.46929,                0.88675,               0.002608,               0.002608,               0.002608
                    114,                0.49231,                0.31005,                0.85057,                0.86039,                0.86473,                0.90511,                0.68288,                0.63665,                0.46634,                0.89006,               0.002542,               0.002542,               0.002542
                    115,                0.49872,                0.31329,                0.84974,                0.86328,                0.89691,                0.91178,                0.69495,                0.64164,                0.46393,                0.88642,               0.002476,               0.002476,               0.002476
                    116,                0.49784,                0.31225,                0.85083,                0.86586,                0.87736,                0.91001,                 0.6942,                0.64368,                0.47231,                 0.8833,                0.00241,                0.00241,                0.00241
                    117,                0.49283,                 0.3076,                0.84663,                0.85862,                0.89362,                0.90732,                0.69532,                0.63366,                0.46051,                0.88268,               0.002344,               0.002344,               0.002344
                    118,                0.49679,                0.31147,                0.85472,                 0.8758,                0.87798,                0.91002,                0.68991,                0.64008,                0.46733,                0.88758,               0.002278,               0.002278,               0.002278
                    119,                0.48491,                0.30409,                0.84986,                0.85819,                0.88653,                0.90552,                0.68778,                 0.6431,                0.46485,                0.89083,               0.002212,               0.002212,               0.002212
                    120,                0.48863,                0.30468,                0.85271,                0.85791,                0.89063,                0.90851,                0.68384,                0.63897,                0.46011,                0.89049,               0.002146,               0.002146,               0.002146
                    121,                 0.4881,                0.30568,                0.84734,                0.86389,                0.88287,                0.90288,                0.68388,                0.63621,                0.46522,                0.89023,                0.00208,                0.00208,                0.00208
                    122,                0.48303,                0.29952,                0.84519,                0.85812,                0.88213,                0.90403,                0.67915,                0.63548,                0.46926,                0.88785,               0.002014,               0.002014,               0.002014
                    123,                0.48136,                0.30173,                0.84633,                0.88961,                0.86032,                 0.9076,                0.68296,                0.63625,                0.47198,                0.88501,               0.001948,               0.001948,               0.001948
                    124,                0.48354,                0.30216,                0.84612,                 0.8882,                0.85868,                0.91079,                0.68692,                0.63608,                0.46297,                0.88715,               0.001882,               0.001882,               0.001882
                    125,                0.47459,                0.29393,                0.84541,                0.87231,                0.87669,                0.90837,                0.68349,                0.63306,                0.46606,                0.88997,               0.001816,               0.001816,               0.001816
                    126,                0.47578,                0.29445,                0.84932,                0.87396,                0.86334,                0.91187,                 0.6916,                0.63908,                0.46944,                0.88921,                0.00175,                0.00175,                0.00175
                    127,                0.47691,                0.29626,                0.84708,                0.86123,                0.88668,                0.91148,                0.69143,                 0.6362,                0.47265,                0.88724,               0.001684,               0.001684,               0.001684
                    128,                0.47202,                0.29388,                0.84324,                0.84697,                0.89095,                0.89976,                0.68302,                0.64142,                0.47804,                0.88781,               0.001618,               0.001618,               0.001618
                    129,                0.46924,                0.29273,                0.84353,                0.86946,                0.86693,                0.90487,                0.69451,                 0.6327,                0.47233,                0.88579,               0.001552,               0.001552,               0.001552
                    130,                0.46779,                0.29066,                0.84221,                0.86392,                0.87697,                0.91148,                  0.693,                0.63696,                0.47874,                0.88734,               0.001486,               0.001486,               0.001486
                    131,                0.47324,                0.29468,                0.84676,                0.87722,                0.87805,                0.91476,                0.69547,                0.64192,                0.47313,                0.88952,                0.00142,                0.00142,                0.00142
                    132,                0.47001,                0.29092,                0.84337,                0.86768,                0.88291,                0.90693,                  0.692,                0.63583,                0.47557,                0.88694,               0.001354,               0.001354,               0.001354
                    133,                0.46399,                0.28775,                0.84288,                  0.842,                0.90039,                0.90768,                0.69275,                0.64125,                0.47998,                0.88872,               0.001288,               0.001288,               0.001288
                    134,                0.46348,                0.28567,                0.84365,                0.84647,                0.89299,                0.90927,                0.69158,                0.63123,                 0.4755,                0.88896,               0.001222,               0.001222,               0.001222
                    135,                0.46123,                 0.2812,                  0.841,                0.84897,                0.90161,                0.91225,                0.68975,                0.63443,                 0.4752,                0.88758,               0.001156,               0.001156,               0.001156
                    136,                0.46196,                0.28349,                0.84226,                0.86118,                0.89098,                0.91214,                0.69389,                0.63093,                0.46882,                0.88684,                0.00109,                0.00109,                0.00109
                    137,                0.45309,                0.28081,                0.83891,                0.86473,                0.86973,                0.90538,                0.69018,                 0.6343,                0.47348,                0.88949,               0.001024,               0.001024,               0.001024
                    138,                0.45554,                0.27923,                 0.8413,                0.85672,                0.89411,                0.91172,                0.68865,                0.63599,                0.47432,                0.89111,               0.000958,               0.000958,               0.000958
                    139,                0.45179,                0.27751,                0.84107,                0.87362,                0.87581,                0.91227,                0.69204,                0.63031,                0.47259,                0.88856,               0.000892,               0.000892,               0.000892
                    140,                0.45622,                0.27595,                0.84028,                0.88102,                0.88178,                0.91334,                0.69701,                0.63042,                0.46741,                 0.8872,               0.000826,               0.000826,               0.000826
                    141,                0.44822,                0.26319,                0.83221,                0.86048,                0.88029,                0.90696,                0.69451,                0.63145,                0.46979,                0.88699,                0.00076,                0.00076,                0.00076
                    142,                0.44161,                0.25924,                0.83089,                0.84687,                0.90237,                0.90949,                0.69499,                0.63232,                0.47153,                0.88754,               0.000694,               0.000694,               0.000694
                    143,                 0.4355,                0.25434,                0.82921,                0.84875,                0.89826,                0.90951,                0.69195,                0.63453,                0.47879,                0.88897,               0.000628,               0.000628,               0.000628
                    144,                 0.4357,                0.25349,                0.82809,                 0.8471,                0.90153,                0.91177,                0.69215,                0.63765,                0.47841,                0.88985,               0.000562,               0.000562,               0.000562
                    145,                0.43004,                0.25245,                0.82948,                0.85466,                0.89742,                0.91117,                0.69268,                0.63347,                0.47723,                0.88751,               0.000496,               0.000496,               0.000496
                    146,                   0.43,                0.25108,                 0.8303,                0.84673,                 0.9024,                0.91086,                0.69334,                0.63244,                0.48283,                 0.8871,                0.00043,                0.00043,                0.00043
                    147,                0.42663,                0.25108,                0.82827,                0.87234,                0.87184,                0.91116,                0.69456,                0.63148,                0.47912,                0.88794,               0.000364,               0.000364,               0.000364
                    148,                0.42225,                0.24616,                0.82583,                0.84941,                 0.8915,                 0.9098,                0.69438,                0.63246,                  0.483,                0.88871,               0.000298,               0.000298,               0.000298
                    149,                 0.4207,                0.24592,                 0.8233,                0.86578,                0.87518,                0.90861,                0.68991,                0.63007,                0.48231,                0.88656,               0.000232,               0.000232,               0.000232
                    150,                0.42311,                0.24722,                0.82628,                0.85481,                0.89436,                0.91003,                0.69184,                0.62937,                0.48179,                0.88634,               0.000166,               0.000166,               0.000166
